"model","examGroup","costTime","chunkLength","escapeCount","input_tokens","output_tokens","reasoning_tokens"
"doubao-1-5-pro-32k-250115","full",59531,,0,17060,1892,1182
"doubao-1-5-pro-32k-250115","full",149171,,0,51151,4231,3371
"doubao-1-5-pro-32k-250115","full",180294,,0,21737,5807,3293
"doubao-1-5-pro-32k-250115","full",159657,,0,17060,5107,4250
"doubao-1-5-pro-32k-250115","full",85857,,0,21737,2815,1910
"doubao-1-5-pro-32k-250115","full",84021,,0,22012,2543,1889
"doubao-1-5-pro-32k-250115","full",72583,,0,22012,2276,1365
"doubao-1-5-pro-32k-250115","full",139215,,0,5531,4274,4109
"doubao-1-5-pro-32k-250115","full",190549,,0,5531,5883,5438
"doubao-1-5-pro-32k-250115","full",203551,,0,21297,6381,5110
"doubao-1-5-pro-32k-250115","full",58805,,0,23488,1810,962
"doubao-1-5-pro-32k-250115","full",142308,,0,22012,4745,3572
"doubao-1-5-pro-32k-250115","full",65312,,0,17060,2107,1473
"doubao-1-5-pro-32k-250115","full",44276,,0,22012,1397,637
"doubao-1-5-pro-32k-250115","full",55702,,0,5531,1792,1463
"doubao-1-5-pro-32k-250115","full",213656,,0,23488,6729,5590
"doubao-1-5-pro-32k-250115","full",88694,,0,23488,2692,1768
"doubao-1-5-pro-32k-250115","full",182263,,0,5070,5934,5448
"doubao-1-5-pro-32k-250115","full",161132,,0,23488,4996,4048
"doubao-1-5-pro-32k-250115","full",66994,,0,21297,1966,1189
"doubao-1-5-pro-32k-250115","full",71494,,0,21737,2178,1036
"doubao-1-5-pro-32k-250115","full",150017,,0,5070,4832,4295
"doubao-1-5-pro-32k-250115","full",53588,,0,21297,1665,1070
