id,source_url,model,examGroup,windowLength,costTime,chunkLength,escapeCount,input_tokens,output_tokens,reasoning_tokens
3f0f1c81-3846-4b68-93ec-513b95a22e61,file:///C:/Users/Dj/.rustup/toolchains/1.31-x86_64-pc-windows-msvc/share/doc/rust/html/std/option/enum.Option.html,deepseek-v3-241226,diff,15000,235713,12,0,127611,6159,0
3f0f1c81-3846-4b68-93ec-513b95a22e61,file:///C:/Users/Dj/.rustup/toolchains/1.31-x86_64-pc-windows-msvc/share/doc/rust/html/std/option/enum.Option.html,deepseek-v3-241226,diff,15000,553979,12,0,133170,15356,0
3f0f1c81-3846-4b68-93ec-513b95a22e61,file:///C:/Users/Dj/.rustup/toolchains/1.31-x86_64-pc-windows-msvc/share/doc/rust/html/std/option/enum.Option.html,deepseek-v3-241226,diff,23000,211045,8,0,129743,5337,0
3f0f1c81-3846-4b68-93ec-513b95a22e61,file:///C:/Users/Dj/.rustup/toolchains/1.31-x86_64-pc-windows-msvc/share/doc/rust/html/std/option/enum.Option.html,deepseek-v3-241226,diff,23000,228035,8,0,132922,5876,0
3f0f1c81-3846-4b68-93ec-513b95a22e61,file:///C:/Users/Dj/.rustup/toolchains/1.31-x86_64-pc-windows-msvc/share/doc/rust/html/std/option/enum.Option.html,deepseek-v3-241226,diff,23000,505512,8,1,169401,13548,0
3f0f1c81-3846-4b68-93ec-513b95a22e61,file:///C:/Users/Dj/.rustup/toolchains/1.31-x86_64-pc-windows-msvc/share/doc/rust/html/std/option/enum.Option.html,deepseek-v3-241226,diff,31000,229782,6,0,125400,5728,0
3f0f1c81-3846-4b68-93ec-513b95a22e61,file:///C:/Users/Dj/.rustup/toolchains/1.31-x86_64-pc-windows-msvc/share/doc/rust/html/std/option/enum.Option.html,deepseek-v3-241226,diff,31000,326534,6,0,144028,8580,0
3f0f1c81-3846-4b68-93ec-513b95a22e61,file:///C:/Users/Dj/.rustup/toolchains/1.31-x86_64-pc-windows-msvc/share/doc/rust/html/std/option/enum.Option.html,deepseek-v3-241226,diff,31000,208178,6,0,131431,5244,0
3f0f1c81-3846-4b68-93ec-513b95a22e61,file:///C:/Users/Dj/.rustup/toolchains/1.31-x86_64-pc-windows-msvc/share/doc/rust/html/std/option/enum.Option.html,deepseek-v3-241226,diff,39000,126040,5,1,120236,2858,0
3f0f1c81-3846-4b68-93ec-513b95a22e61,file:///C:/Users/Dj/.rustup/toolchains/1.31-x86_64-pc-windows-msvc/share/doc/rust/html/std/option/enum.Option.html,deepseek-v3-241226,diff,39000,179212,5,0,122594,4300,0
